,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
144,Hambantota,LK,6.1241,81.1185,77.05,86,100,3.98,moderate rain
145,Katwijk,NL,52.1942,4.4222,49.96,79,2,7.74,clear sky
146,Saint-Pierre,RE,-21.3393,55.4781,71.91,94,100,12.66,overcast clouds
147,Bria,CF,6.5423,21.9863,71.94,57,49,2.1,scattered clouds
148,Semenivka,UA,52.1783,32.5818,41.7,79,100,10.74,overcast clouds
149,Quepos,CR,9.4236,-84.1652,80.35,81,46,5.28,scattered clouds
150,Tombouctou,ML,20.0,-3.0,81.64,15,63,7.02,broken clouds
151,Odweyne,SO,9.4092,45.064,68.86,44,0,9.15,clear sky
152,Tarnos,FR,43.5417,-1.4628,62.91,73,0,4.61,clear sky
153,Tyup,KG,42.7276,78.3648,28.27,65,7,1.45,clear sky
154,Valparaiso,CL,-33.0393,-71.6273,73.63,63,0,17.27,clear sky
155,Houlton,US,46.1262,-67.8403,38.61,68,100,6.91,mist
156,Kalisz,PL,51.7611,18.091,44.98,83,89,8.05,overcast clouds
157,Finote Selam,ET,10.7,37.2667,56.07,87,0,4.74,clear sky
158,Ipojuca,BR,-8.3989,-35.0639,82.31,70,28,8.88,scattered clouds
159,Kambove,CD,-10.8764,26.5969,62.64,97,100,2.08,overcast clouds
160,Eyl,SO,7.9803,49.8164,78.76,73,62,18.03,broken clouds
161,Lebu,CL,-37.6167,-73.65,58.48,81,40,12.84,scattered clouds
162,Soligalich,RU,59.0778,42.2864,29.84,80,100,15.66,overcast clouds
163,Salalah,OM,17.0151,54.0924,78.89,73,20,4.61,few clouds
164,Havoysund,NO,70.9963,24.6622,35.83,78,65,7.61,broken clouds
165,Nadym,RU,65.5333,72.5167,-8.66,85,71,9.73,broken clouds
166,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,69,20,10.36,few clouds
167,Baghmara,IN,23.795,86.2085,63.46,48,0,4.99,clear sky
168,Aksu,CN,41.1231,80.2644,37.27,46,3,5.26,clear sky
169,Luderitz,NA,-26.6481,15.1594,63.23,73,0,20.27,clear sky
170,Chuy,UY,-33.6971,-53.4616,72.61,78,100,11.7,light rain
171,Sisimiut,GL,66.9395,-53.6735,20.32,81,96,7.72,overcast clouds
